"Qual.","Player","Team","POS","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
0,"Dani Fey","Penn State",NA,0.151,0.225,0.164,0.389,35,86,73,8,11,1,0,0,4,0,7,24,4,2
0,"Dani Morgan","Florida State",NA,0.256,0.33,0.35,0.68,60,183,160,28,41,4,1,3,30,6,12,20,14,2
0,"Daniela Chiorazzi","Manhattan",NA,0.244,0.337,0.453,0.79,33,98,86,13,21,1,1,5,19,1,11,13,4,1
0,"Danielle Castleberry","Mercer",NA,0.333,0.378,0.447,0.825,47,160,141,22,47,10,0,2,27,9,3,6,3,0
0,"Danielle de Ruiter","North Alabama",NA,0.19,0.261,0.238,0.499,38,99,84,9,16,4,0,0,7,1,7,23,1,0
0,"Danielle Diaz","Stetson",NA,0.225,0.319,0.263,0.581,27,92,80,3,18,3,0,0,8,0,11,14,0,0
0,"Danielle Rocheleau","Hartford",NA,0.426,0.453,0.689,1.142,19,64,61,10,26,7,0,3,11,1,2,6,1,1
0,"Danielle Serna","Colorado State",NA,0.27,0.336,0.365,0.701,36,128,115,14,31,11,0,0,14,1,11,21,0,1
0,"Daphne Plummer","Missouri State",NA,0.423,0.479,0.592,1.072,41,148,130,35,55,6,5,2,13,2,13,13,16,2
0,"Darby Pandolfo","Seton Hall",NA,0.311,0.42,0.667,1.086,32,112,90,22,28,8,0,8,21,0,19,13,1,1
0,"Darby Trull","Virginia Tech",NA,0.246,0.312,0.341,0.653,50,143,126,21,31,7,1,1,19,0,13,11,7,0
0,"Darian Frost","Missouri State",NA,0.268,0.351,0.381,0.733,38,113,97,9,26,6,1,1,20,0,13,30,2,0
0,"Dayna Hokanson","Southern Utah",NA,0.316,0.4,0.411,0.811,50,184,158,41,50,9,0,2,22,12,10,20,1,3
0,"Dayna Kennedy","Illinois State",NA,0.179,0.313,0.33,0.643,40,133,106,17,19,2,1,4,20,3,19,26,5,0
0,"Deangie Jimenez","Monmouth",NA,0.242,0.33,0.424,0.755,34,113,99,18,24,6,0,4,18,3,10,18,2,0
0,"Deja Davis","Duke",NA,0.389,0.444,0.653,1.097,56,190,167,39,65,9,7,7,28,3,15,17,14,4
0,"Dejah Mulipola","Arizona",NA,0.383,0.516,0.859,1.375,56,193,149,53,57,8,0,21,63,8,34,31,0,0
0,"Delainey Fenoglio","Kansas City",NA,0.259,0.331,0.41,0.741,52,157,139,8,36,3,0,6,23,2,14,15,1,0
0,"Delaney Cumbie","UNC Greensboro",NA,0.232,0.464,0.512,0.976,49,184,125,35,29,11,0,8,23,12,42,20,0,0
0,"Delaney Rummell","Illinois",NA,0.314,0.336,0.496,0.832,44,149,137,14,43,13,0,4,33,1,5,18,6,0
0,"Delaney Smith","Memphis",NA,0.235,0.283,0.243,0.525,50,147,136,13,32,1,0,0,7,1,8,27,17,0
0,"Demi Slater","Mississippi Valley",NA,0.196,0.275,0.217,0.492,20,52,46,6,9,1,0,0,2,0,5,17,0,0
0,"DeNae Chatman","Arizona State",NA,0.264,0.373,0.585,0.958,44,128,106,25,28,5,1,9,27,0,19,24,0,0
0,"Denali Schappacher","UCF",NA,0.35,0.393,0.401,0.794,59,173,157,30,55,4,2,0,10,0,11,17,16,3
0,"Denise Armendariz","UNLV",NA,0.352,0.413,0.565,0.978,38,122,108,16,38,14,0,3,25,0,12,21,0,0
0,"Denisha Megginson","Norfolk State",NA,0.305,0.391,0.516,0.907,37,110,95,14,29,6,1,4,21,2,12,11,4,1
0,"Desirea Lindsey","Alcorn State",NA,0.203,0.306,0.243,0.549,29,86,74,14,15,1,1,0,5,2,9,13,4,0
0,"Desiree Moreno","Loyola Marymount",NA,0.236,0.286,0.39,0.676,40,133,123,10,29,5,1,4,19,1,8,31,0,0
